id,Title,URL du logo,URL de site web,Village,Resume,Theme
1,CINESTIC,https://www.levillagebyca.com/sites/default/files/2019-09/logo%20CINESTIC.png,https://cinestic.fr/,Lorraine,"Cluster Image, Innovation & Numérique Grand Est","Développement humain et économique, Développement Business, Consulting"
2,CCI Maine et Loire,https://www.levillagebyca.com/sites/default/files/2019-09/logo%20CCI_0.jpg,https://www.maineetloire.cci.fr,Angers,La CCI est pilotée par 50 entrepreneurs.,
3,Fleuron d'Anjou,https://www.levillagebyca.com/sites/default/files/2019-08/logo%20fleuron%20d%27anjou%20-%20partenaire%20village_0.png,http://www.fleurondanjou.fr/,Angers,"Fleuron d’Anjou qui ambitionne de se positionner comme le référent de la santé et du bien-être par le végétal, met à disposition des startups du village son expertise en matière de productions végétales spécialisées. Afin d’offrir aux consommateurs les végétaux en adéquation avec leurs aspirations, le Groupe souhaite ainsi construire et développer des collaborations pour innover et imaginer les produits de demain.","Agro-Agri, Agriculture, Food tech, Agriculture et Agroalimentaire"
4,DisneyLand Paris,https://www.levillagebyca.com/sites/default/files/2019-07/Logo%20DLP%20Gris%5B3%5D.png,,Brie Picardie,"Disneyland Paris est le premier employeur mono-site de France et le plus important employeur privé de Seine-et-Marne, avec plus de 16.000 employés, 500 métiers, 20 langues parlées et 121 nationalités représentées. Le site comprend le parc Disneyland®, le parc Walt Disney Studios®, six hôtels Disney et 2 hôtels Disney Nature Resorts d'une capacité totale de plus de 5 800 chambres, deux centres de congrès, le centre de divertissements Disney Village® et un golf de 27 trous.",Tourisme
5,Mare Nostrum,https://www.levillagebyca.com/sites/default/files/2019-07/MARE_NOSTRUM_BLEU_fond_transparent._PB.png,https://www.mare-nostrum.eu/,Sud Rhone Alpes,"Le groupe Mare Nostrum est un acteur global de la gestion des ressources humaines spécialisé dans le travail temporaire, le recrutement, la formation ainsi que le portage salarial et la mobilité professionnelle",Développement humain et économique
6,Keolis,https://www.levillagebyca.com/sites/default/files/2019-07/KEOLIS_4C_0.png,https://www.keolis.com/,Nevers,"Pionnier dans le secteur des transports publics, Keolis s’associe aux décideurs publics pour faire de la mobilité partagée un atout pour les villes et leurs communautés.","Énergie et environnement, Mobilité"
7,Crédit Agricole Alsace Vosges,https://www.levillagebyca.com/sites/default/files/2019-06/credit%20agricole_0.jpg,https://www.ca-alsace-vosges.fr/,Alsace Vosges,"Le Crédit Agricole Alsace Vosges est une banque universelle de proximité de près de 1 500 collaborateurs au service des alsaciens et des vosgiens. Elle propose à tous ses clients des services innovants, parfaitement adaptés à leur besoin. C’est une entreprise mutualiste qui s’appuie sur une gouvernance coopérative.
La Caisse régionale développe 3 métiers : la banque, l'assurance et l'immobilier. Sa solidité financière lui permet de soutenir le développement de son territoire et son attractivité.","Finance, Autres, Autres, Domaines d’excellence du groupe Crédit Agricole"
8,SuperNova Invest,https://www.levillagebyca.com/sites/default/files/2019-06/0_0.png,,Sud Rhone Alpes,"société de gestion française et indépendante, spécialisée dans l'investissement dans des start-ups à fort potentiel",Développement humain et économique
9,Mare Nostrum,https://www.levillagebyca.com/sites/default/files/2019-06/MARE_NOSTRUM_BLEU_fond_transparent._PB.png,https://www.mare-nostrum.eu/,,"Depuis 15 ans, le groupe Mare Nostrum est spécialisé dans le recrutement, le travail temporaire et la formation. Composé de 233 salariés, le groupe est en constante croissance et  trouve sa force dans la complémentarité de ses métiers et ses services.
En 2018, le groupe Mare Nostrum compte 25 marques et 89 implantations en France et à l'International.",Développement humain et économique
10,Avenidor,https://www.levillagebyca.com/sites/default/files/2019-06/logo-avenidor-FB_0.jpg,,Brie Picardie,"Avenidor est spécialisé dans la construction de maisons individuelles passives aux performances hors du commun. Le 1er prototype au monde à être labellisé «Passive Premium» et 100% autonome, qui se situe sur notre Centre de Recherche et Développement de l’Habitat Durable, en est la preuve.
Cette œuvre est née de notre détermination à développer des constructions passives en adéquation avec la durabilité, les performances et l’environnement.","Logement, Logement"
