id,Villages
1,Alpes Provence
2,Nevers
3,Alumni
4,Brie Picardie
5,Milano
6,Alsace Vosges
7,Angers
8,Aquitaine
9,Atlantique Vendée
10,Besançon
11,Centre-Est
12,Centre Ouest
13,Champagne Bourgogne
14,Charente Maritime Deux Sèvres
15,Châteaudun
16,Contres
17,Côtes d'Armor
18,Des savoie
19,Finistère
20,Guadeloupe
21,Ille et Vilaine
22,Orléans - LAB'O
23,Languedoc
24,Laval
25,La Réunion
26,Loire Haure Loire
27,Lorraine
28,Le Havre
29,Le Mans
30,Morbihan
31,Martinique
32,Nord de France
33,Normandie
34,Paris
35,Provence Cote d'Azur
36,Pyrenees Gascogne
37,Reims
38,Rouen Vallée de Seine
39,Sud Rhone Alpes
40,Toulouse
